reviewid,artist, popularity
22521,kings of leon,77.0
22512,katie gately,9.0
22508,jagwar ma,30.0
22509,matt kivel,28.0
22463,weyes blood,59.0
22513,boogie,78.0
22412,powell,27.0
22504,wife,50.0
22389,nxworries,56.0
22499,regina spektor,62.0
22495,darkthrone,45.0
22461,mark ernestus' ndagga rhythm force,9.0
22494,jamie lidell,41.0
22440,terry allen,33.0
22496,mono,46.0
22497,wadada leo smith,21.0
22458,warehouse,24.0
22308,randy newman,61.0
22390,the orb,44.0
22511,lizzo,71.0
22493,marie davidson,45.0
22339,purling hiss,17.0
22490,johnny jewel,38.0
22404,the shaggs,22.0
22372,pat thomas,40.0
22411,dusky,47.0
22348,big star,45.0
22391,swet shop boys,21.0
22410,youandewan,39.0
22492,emma ruth rundle,41.0
22488,conor oberst,48.0
22477,joyce manor,53.0
22489,banks,64.0
22438,dva [hi:emotions],20.0
22323,hiss golden messenger,48.0
22307,norah jones,73.0
22486,g perico,55.0
22478,brookzill!,2.0
22474,green day,82.0
22450,goat,42.0
22449,mv & ee,24.0
22460,gatecreeper,38.0
22439,candiria,24.0
22253,janet jackson,67.0
22318,oasis,79.0
22445,helado negro,47.0
22484,dj mustard,73.0
22466,opeth,59.0
22429,moses sumney,52.0
22451,phish,55.0
22471,phantogram,67.0
22470,the caretaker,54.0
22437,pixies,70.0
22475,francis and the lights,55.0
22476,neurosis,33.0
22472,yves tumor,56.0
22482,solange,62.0
22376,balance and composure,47.0
22459,supersilent,9.0
22375,bruce haack,24.0
22314,jenny hval,35.0
22362,jack rose,24.0
22435,lusa maita,83.0
22373,oathbreaker,28.0
22447,aaron abernathy,4.0
22468,danny brown,62.0
22446,innanet james,24.0
22299,darcy james argue's secret society,11.0
22434,masayoshi fujita,28.0
22434,jan jelinek,32.0
22292,guided by voices,47.0
22368,bob weir,38.0
22430,s u r v i v e,31.0
22346,steve reich,45.0
22388,carl stone,15.0
22420,bon iver,77.0
22298,mike & rich,21.0
22304,thomas brinkmann,13.0
22425,psychic tv,34.0
22444,nicolas jaar,52.0
22426,warpaint,48.0
22424,moor mother,34.0
22315,blonde redhead,50.0
22431,mick jenkins,57.0
22443,ty dolla $ign,84.0
22432,flock of dimes,36.0
22427,lvl up,30.0
22423,devendra banhart,55.0
22387,machinedrum,48.0
22146,chinx,42.0
22386,itasca,13.0
22416,how to dress well,28.0
22134,fleetwood mac,83.0
22422,merchandise,17.0
22370,beach slang,25.0
22400,alunageorge,62.0
22045,erykah badu,69.0
22419,against me!,52.0
22428,the gaslamp killer,36.0
22406,crooked man,19.0
22369,eola,22.0
22313,hamilton leithauser,47.0
22313,rostam,47.0
22405,local natives,56.0
22302,biosphere,42.0
22399,mykki blanco,39.0
22409,bruce springsteen,77.0
22421,die antwoord,60.0
22385,dyke drama,11.0
22384,a tribe called red,46.0
22418,usher,82.0
22326,pallbearer,35.0
22366,kool keith,42.0
22367,randy newman,61.0
22402,led zeppelin,78.0
22382,various artists,7.0
22383,grumbling fur,5.0
22408,croatian amor,38.0
22407,preoccupations,35.0
22312,robert glasper experiment,58.0
22381,mndsgn,42.0
22357,sumerlands,23.0
22061,brian eno,61.0
22293,mac miller,84.0
22310,julius eastman,21.0
22398,bryce dessner,47.0
22398,aaron dessner,36.0
22403,dj fresh,42.0
22403,ezale,31.0
22397,cymbals eat guitars,20.0
22359,touch amor,47.0
22365,silver apples,33.0
22358,matthew shipp,24.0
22358,bobby kapp,0.0
22300,kaitlyn aurelia smith,40.0
22300,suzanne ciani,34.0
22335,fudge,29.0
22379,wrekmeister harmonies,13.0
22360,tim presley,18.0
22336,nick cave & the bad seeds,64.0
22283,manuel gttsching,31.0
22303,cristian vogel,16.0
22306,el perro del mar,29.0
22396,m.i.a.,70.0
22343,neil young,69.0
22305,jhann jhannsson,63.0
22238,various artists,7.0
22350,jack white,59.0
22356,steve buscemi,0.0
22356,elliott sharp,11.0
22112,alpha 606,2.0
22309,adam torres,27.0
22345,vox clamantis,29.0
22255,caetano veloso,68.0
22327,angelo badalamenti,52.0
22288,okkervil river,37.0
22364,banks & steelz,25.0
22380,lisa/liza,2.0
22355,wilco,61.0
22289,daniel lanois,50.0
22290,drugdealer,55.0
22330,james vincent mcmorrow,57.0
22361,travis scott,93.0
22284,p.s. eliot,24.0
22354,carly rae jepsen,72.0
22351,inc. no world,6.0
22363,isaiah rashad,70.0
22281,eluvium,36.0
22342,circle,43.0
22352,bibio,52.0
22322,zomby,13.0
22287,teenage fanclub,43.0
22344,clipping.,53.0
22286,yohuna,5.0
22212,terry riley,34.0
22353,de la soul,62.0
22349,mekons,33.0
22337,nots,62.0
21989,d.a.r.k.,11.0
22282,angel olsen,51.0
22332,junior boys,34.0
22333,serpentwithfeet,56.0
22277,william basinski,42.0
22329,young thug,85.0
22338,prince,72.0
22341,soundwalk collective,26.0
22341,patti smith,58.0
22341,jesse paris smith,18.0
22271,funk factory,0.0
22319,prophets of rage,41.0
22331,the beach boys,72.0
22325,jon hopkins,58.0
22320,the dead c,8.0
22296,vince staples,68.0
22243,crystal castles,72.0
22328,porches,42.0
22279,nathan bowles,23.0
22256,cass mccombs,42.0
22340,gucci mane,77.0
22340,zaytoven,52.0
22251,subrosa,23.0
22257,motion graphics,20.0
22132,the roots,61.0
22254,katy goodman,9.0
22254,greta morgan,10.0
22252,kornl kovcs,35.0
22260,controlled bleeding,14.0
22321,cassius,49.0
22280,red pill,52.0
22231,feral,22.0
22311,carl broemel,30.0
22295,frank ocean,88.0
22285,various artists,7.0
22249,peter broderick,44.0
22258,battle trance,0.0
22211,tory lanez,82.0
22223,brendan canning,12.0
22276,charlotte day wilson,58.0
22237,tokyo black star,5.0
22273,sharon jones and the dap-kings,59.0
22274,tree,76.0
22241,mild high club,59.0
22233,marielle v. jakobsons,3.0
22248,scott walker,41.0
22236,scott hirsch,23.0
