artist, popularity
blackalicious,45.0
jens-uwe beyer,3.0
dope body,13.0
willis earl beal,25.0
corrina repp,23.0
akira sakata,3.0
chikamorachi,1.0
ought,28.0
metric,63.0
pole,30.0
air waves,11.0
low,55.0
dj richard,20.0
rose mcdowall,30.0
skylar spence,39.0
joan shelley,38.0
the isley brothers,62.0
phil cook,38.0
pwr bttm,30.0
fidlar,51.0
slayer,66.0
petite noir,30.0
telekinesis,40.0
mueller & roedelius,0.0
beirut,56.0
helen,48.0
lower,42.0
farao,42.0
cold beat,15.0
empress of,53.0
craig finn,34.0
savant,41.0
the libertines,55.0
unwound,43.0
widowspeak,44.0
the kitchen cinq,1.0
miley cyrus,83.0
panda bear,59.0
marrow,6.0
verbal kent,17.0
mike krol,41.0
destroyer,47.0
method man,68.0
all dogs,17.0
salad boys,8.0
christian rich,43.0
foals,63.0
daniel.t.,56.0
dead to a dying world,5.0
halsey,83.0
tamaryn,40.0
fake palms,2.0
idjut boys,19.0
yo la tengo,54.0
frog eyes,20.0
dornik,27.0
natural information society,15.0
myrkur,45.0
ghost,75.0
drinks,39.0
fuck the facts,14.0
gardens & villa,30.0
deradoorian,31.0
reatards,21.0
monk parker,3.0
the foreign exchange,38.0
glassine,0.0
fka twigs,70.0
the good life,26.0
jackson c. frank,46.0
ancient warfare,0.0
royal headache,33.0
berner,59.0
the jacka,47.0
advance base,27.0
f ingers,2.0
tunde olaniran,20.0
palehound,38.0
dave cloud & the gospel of power,41.0
gonno,11.0
afx,31.0
the black dog,40.0
guilty simpson,39.0
stern,2.0
retch,37.0
tink,60.0
mark lanegan,50.0
briana marela,24.0
zachary cale,6.0
pavement,59.0
aye nako,7.0
teen daze,38.0
azekel,43.0
dr. dre,81.0
lindi ortega,30.0
gangrene,35.0
blondes,50.0
lizzy mercier descloux,33.0
heathered pearls,22.0
team sleep,49.0
jessie jones,3.0
chelsea wolfe,50.0
eleventh dream day,13.0
hatchback,12.0
robyn,63.0
la bagatelle magique,15.0
night beds,29.0
joe plummer,0.0
donnacha costello,12.0
warren g,64.0
jill scott,58.0
slim twig,2.0
michael stasis,21.0
mac demarco,81.0
la luz,44.0
grave babies,8.0
trae tha truth,50.0
deiphago,5.0
health,59.0
omar souleyman,39.0
pearl charles,28.0
ultimate painting,31.0
mike cooper,15.0
the coneheads,2.0
deaf wish,3.0
bert jansch,39.0
teenage time killers,8.0
gunplay,47.0
albert hammond jr.,46.0
alessandro cortini,34.0
r. andrew lee,1.0
sweet cobra,5.0
julio bashmore,34.0
lianne la havas,56.0
adult mom,32.0
ricked wicky,3.0
public enemy,57.0
lamb of god,64.0
illfightyou,11.0
dj roc,23.0
ms mr,41.0
gwenno,31.0
earthly,2.0
watkins family hour,26.0
l'orange,39.0
mario diaz de leon,3.0
j fernandez,55.0
locrian,15.0
tearjerker,10.0
spraynard,22.0
strange wilds,1.0
sly and the family stone,58.0
mas ysa,14.0
ashley monroe,50.0
white reaper,41.0
snooty garbagemen,0.0
wavves x cloud nothings,44.0
ducktails,31.0
fox millions duo,0.0
bad bad hats,38.0
sassyblack,2.0
ratatat,66.0
years & years,71.0
seven davis jr.,27.0
ty money,0.0
the chemical brothers,64.0
ben bridwell,38.0
iron & wine,64.0
container,15.0
self defense family,20.0
jason isbell,60.0
the alchemist,73.0
nadastrom,8.0
tame impala,81.0
veruca salt,47.0
karin krog,25.0
negative scanner,3.0
peacers,3.0
envy,27.0
duke ellington,59.0
the internet,61.0
the velvet teen,18.0
creepoid,22.0
the tough alliance,22.0
statik selektah,50.0
beatking,46.0
flesh world,1.0
ghostface killah & adrian younge,64.0
rp boo,17.0
ecstatic vision,13.0
ezra furman,45.0
lee bannon,13.0
four tet,63.0
matrixxman,26.0
heather woods broderick,26.0
active child,39.0
miguel,82.0
class actress,45.0
tyga,79.0
failure,44.0
wolf alice,60.0
lucki eck$,31.0
bilal,65.0
london o'connor,13.0
kronos quartet,50.0
mutoid man,32.0
thundercat,71.0
main attrakionz,42.0
blawan,31.0
everything everything,51.0
the armed,36.0
refused,54.0
bully,43.0
smokey,55.0
dave douglas,25.0
leon bridges,74.0
richard thompson,42.0
mewithoutyou,44.0
t. hardy morris,21.0
the national,65.0
son lux,51.0
nate ruess,68.0
bomba estreo,72.0
desaparecidos,31.0
"s. araw ""trio"" xi",0.0
hunee,29.0
flo morrissey,36.0
tenement,15.0
jaakko eino kalevi,36.0
meg baird,19.0
giorgio moroder,61.0
false,28.0
robert glasper trio,22.0
evan caminiti,4.0
fucked up,33.0
nick diamonds,14.0
klsch,5.0
namie amuro,45.0
dj koze,52.0
high on fire,40.0
vattnet viskar,3.0
princess chelsea,54.0
ken mode,23.0
mates of state,32.0
sarah cracknell,20.0
helm,51.0
ffs,74.0
galcher lustwerk,36.0
ryn weaver,48.0
sharon van etten,59.0
heartless bastards,45.0
moritz von oswald trio,14.0
pins,75.0
bruce brubaker,41.0
faith no more,62.0
institute,36.0
jason derulo,78.0
sweet john bloom,0.0
muse,76.0
sightings,3.0
insect ark,17.0
stellar om source,2.0
prinzhorn dance school,14.0
nicolay,24.0
donnie trumpet & the social experiment,45.0
girlpool,38.0
goatsnake,25.0
the mothmen,1.0
time wharp,16.0
christopher owens,29.0
eternal summers,14.0
akitsa,18.0
rachel grimes,33.0
the deslondes,46.0
major lazer,76.0
in camera,6.0
zhala,22.0
florence and the machine,79.0
daughn gibson,13.0
nozinja,3.0
amir alexander,17.0
jamie xx,65.0
algiers,26.0
soak,45.0
drainolith,0.0
obsequiae,26.0
a$ap rocky,86.0
the vaccines,55.0
strategy,49.0
kosmo kat,0.0
valet,69.0
cloud rat,23.0
two sheds,1.0
murs,47.0
shana cleveland & the sandcastles,28.0
unknown mortal orchestra,59.0
dr. yen lo,22.0
tropical trash,1.0
crosss,52.0
tanlines,25.0
smurphy,0.0
kid606,21.0
onra,44.0
holly herndon,23.0
du blonde,33.0
zedd,75.0
holly miranda,25.0
hot chip,52.0
lakker,14.0
brandon flowers,51.0
ceremony,37.0
shilpa ray,29.0
joanna gruesome,17.0
cecil taylor,21.0
vito ricci,11.0
shamir,29.0
circuit des yeux,33.0
loren connors,27.0
ben khan,26.0
noisem,5.0
jupiter jax,11.0
charles cohen,2.0
crocodiles,25.0
prurient,24.0
prefuse 73,34.0
bankroll fresh,48.0
gacha,77.0
john moreland,48.0
blanck mass,28.0
palma violets,27.0
tyondai braxton,9.0
boof,51.0
icky blossoms,25.0
elvis depressedly,35.0
coliseum,15.0
the tallest man on earth,51.0
surfer blood,31.0
juan wauters,33.0
david kauffman,20.0
eric caboor,16.0
kamasi washington,55.0
downtown boys,15.0
ciara,71.0
michael angelo,28.0
beatriz ferreyra,6.0
mikal cronin,24.0
torres,45.0
mumford & sons,75.0
metz,31.0
psychic reality,1.0
best coast,44.0
red house painters,44.0
kehlani,76.0
nosaj thing,43.0
turnover,56.0
todd rundgren/emil nikolaisen/hans-peter lindstrm,55.0
the weather station,46.0
jazz cartier,44.0
django django,42.0
turn to crime,0.0
george fitzgerald,51.0
nai harvest,16.0
mew,44.0
oddisee,50.0
home blitz,2.0
nadine shah,34.0
my morning jacket,56.0
braids,29.0
bell witch,29.0
loke rahbek & puce mary,4.0
mg,77.0
jackson scott,7.0
hagerty-toth band,0.0
daniele baldelli,26.0
slug,45.0
blur,70.0
paul de jong,10.0
looper,26.0
yelawolf,66.0
trey songz,71.0
bill fay,37.0
samo sound boy,0.0
sasha go hard,16.0
jeremiah jae,31.0
beauty pill,9.0
alabama shakes,61.0
death,58.0
the very best,39.0
roach gigz,26.0
chaos echoes,1.0
passion pit,60.0
calexico,46.0
red death,11.0
tei shi,47.0
tribulation,35.0
abyss,13.0
squarepusher,44.0
san fermin,38.0
the breathing effect,30.0
"tyler, the creator",91.0
kmd,40.0
marina and the diamonds,74.0
great lake swimmers,46.0
tori amos,56.0
this is the kit,45.0
low jack,13.0
kathryn calder,10.0
m.c. schmidt,41.0
pale blue,36.0
ava luna,10.0
trickfinger,14.0
delia gonzalez,6.0
matt & kim,49.0
tal national,12.0
sam cohen,32.0
mac mccaughan,16.0
obnox,3.0
ceej,38.0
curren$y,63.0
suuns and jerusalem in my heart,1.0
east india youth,8.0
young fathers,47.0
fred thomas,11.0
brian wilson,40.0
doldrums,25.0
the wombats,65.0
royal thunder,24.0
broken water,7.0
anna caragnano & donato dozzy,27.0
gabi,84.0
colleen,24.0
say lou lou,36.0
shlohmo,47.0
the mountain goats,55.0
lapalux,38.0
lower dens,32.0
the soft moon,37.0
ludacris,78.0
the sonics,42.0
michael rault,25.0
death cab for cutie,63.0
wale,74.0
t-pain,79.0
yonatan gat,7.0
godspeed you! black emperor,47.0
jodeci,58.0
benot pioulard,34.0
faith healer,9.0
disasterpeace,49.0
fort romeau,34.0
tufthunter,0.0
sufjan stevens,71.0
the prodigy,66.0
fllakzoid,44.0
madeon,55.0
laura marling,56.0
ratking,22.0
thursday,48.0
liturgy,26.0
scuba,27.0
anasazi,3.0
jesse malin,35.0
chilly gonzales,52.0
action bronson,63.0
jam city,38.0
chastity belt,40.0
the cribs,44.0
earl sweatshirt,70.0
jimmy whispers,17.0
the jon spencer blues explosion,42.0
ilyas ahmed,16.0
people of the north,0.0
courtney barnett,53.0
vetiver,38.0
the go! team,41.0
stone jack jones,6.0
the silence,32.0
twin shadow,49.0
andy kim,38.0
etiquette,3.0
inventions,14.0
palmbomen ii,17.0
maxo kream,58.0
lightning bolt,30.0
houndstooth,21.0
flicia atkinson,25.0
modest mouse,64.0
ryuichi sakamoto,64.0
laura welsh,42.0
rahel,23.0
glen hansard,53.0
tobias jesso jr.,33.0
popol vuh,34.0
florian fricke,62.0
two-9,24.0
pyramids,14.0
cana,38.0
madonna,80.0
white gzus,0.0
jessica lea mayfield,34.0
seth avett,33.0
enslaved,38.0
lieutenant,3.0
anamai,0.0
ranger,33.0
mo kolours,23.0
heems,36.0
pearson sound,29.0
sarah bethe nelson,2.0
jeff the brotherhood,28.0
cannibal ox,31.0
young guv,20.0
eskmo,30.0
yowler,21.0
black cilice,1.0
matthew e. white,38.0
swervedriver,36.0
crypt sermon,26.0
og maco,38.0
dick diver,18.0
the black ryder,26.0
tom brosseau,14.0
radical dads,1.0
mastery,19.0
crookers,59.0
lady lamb the beekeeper,47.0
moon duo,35.0
sam prekop,29.0
rima kato,2.0
levon vincent,17.0
sannhet,8.0
thin lizzy,62.0
estelle,67.0
david borden,8.0
purity ring,49.0
noel gallagher's high flying birds,59.0
lead belly,39.0
eula,5.0
pile,35.0
mndr,44.0
sweet valley,23.0
dutch uncles,18.0
an autumn for crippled children,28.0
future brown,6.0
gang of four,48.0
pelican,36.0
the pop group,22.0
big sean,77.0
black twig pickers,3.0
theesatisfaction,11.0
tica douglas,0.0
steve earle & the dukes,60.0
eternal tapestry,9.0
diet cig,30.0
colleen green,24.0
dan deacon,41.0
torche,31.0
screaming females,36.0
ibeyi,50.0
the king khan & bbq show,36.0
the juliana hatfield three,26.0
twin river,5.0
tropics,33.0
the wave pictures,27.0
phosphorescent,51.0
kate pierson,18.0
dj sotofett,14.0
pika,41.0
jos gonzlez,65.0
krill,22.0
felix k,2.0
carter tutti,7.0
grooms,4.0
the staple singers,52.0
damon & naomi,14.0
ghostface killah,64.0
joker,34.0
s. carey,41.0
beat spacek,9.0
hundred waters,43.0
anthony naples,35.0
a place to bury strangers,36.0
sir richard bishop,20.0
the supreme jubilees,33.0
sonny and the sunsets,35.0
title fight,65.0
pond,48.0
big noble,4.0
emmy the great,24.0
ne-yo,82.0
quarterbacks,7.0
sherwood & pinch,4.0
mikky ekko,69.0
father john misty,70.0
ex-cult,13.0
rone,65.0
endless bummer,1.0
jeff bridges,24.0
africa express,37.0
leviathan,32.0
zex,42.0
the districts,39.0
matana roberts,14.0
noveller,16.0
william ryan fritch,23.0
mount eerie,45.0
phantom posse,4.0
john tejada,40.0
breakfast in fur,1.0
jib kidder,3.0
joey bada$$,73.0
nite fields,5.0
murder by death,43.0
half japanese,31.0
james blackshaw,19.0
two gallants,32.0
all we are,23.0
jazmine sullivan,63.0
the church,51.0
jack name,25.0
gaz coombes,36.0
xibalba,30.0
zs,95.0
jessica pratt,59.0
twerps,25.0
herbert,61.0
napalm death,46.0
jan st. werner,2.0
doomtree,30.0
thou,67.0
howlin rain,10.0
lino capra vaccina,0.0
trinidad james,56.0
alasdair roberts,18.0
ro maron,58.0
peals,15.0
young ejecta,34.0
lena willikens,11.0
menace beach,56.0
viet cong,2.0
lupe fiasco,67.0
the go-betweens,38.0
the sidekicks,21.0
young l,39.0
belle and sebastian,56.0
mark ronson,77.0
erase errata,10.0
elephant micah,4.0
cloakroom,39.0
sleater-kinney,43.0
california x,4.0
liam hayes,5.0
mcferrdog,0.0
leather corduroys,60.0
the dodos,33.0
amen dunes,38.0
disappears,12.0
mike will made-it,67.0
secret circuit,13.0
ascension,14.0
geotic,47.0
mike jones,61.0
red red meat,11.0
james murphy,27.0
atelje,16.0
gaussian curve,35.0
tut,45.0
arthur,38.0
ghost culture,29.0
the advisory circle,22.0
niia x the range,57.0
brian chippendale,0.0
greg saunier,7.0
dangelo,62.0
the vanguard,36.0
nicki minaj,86.0
theo parrish,35.0
william onyeabor,41.0
canooooopy,0.0
anatomy of habit,0.0
usnea,5.0
hashman deejay,2.0
mary j. blige,72.0
primordial,33.0
mr. mitch,26.0
jordan de la sierra,16.0
the smashing pumpkins,75.0
los campesinos!,52.0
chumped,20.0
old man gloom,10.0
flake music,21.0
giant squid,14.0
steffi,28.0
diplo,78.0
mr. oizo,53.0
juju & jordash,6.0
silk rhodes,32.0
sd,54.0
wu-tang clan,68.0
jon hassell,33.0
big k.r.i.t.,57.0
at the gates,45.0
she & him,51.0
mark mcguire,20.0
trash kit,5.0
frank & tony,26.0
songs: ohia,45.0
rl grime,62.0
raspberry bulbs,9.0
gabriel saloman,0.0
mouse on mars,29.0
hound,58.0
tony allen,46.0
giraffage,42.0
jay shepheard,20.0
ariel kalma,26.0
faust,30.0
barnt,17.0
fugazi,56.0
buzzcocks,49.0
robert wyatt,35.0
serengeti,37.0
bo ningen,15.0
bryan ferry,60.0
jesse ruins,28.0
ariel pink,48.0
dan bodan,10.0
tv on the radio,58.0
dean blunt,63.0
iamamiwhoami,37.0
atriarch,31.0
ryksopp,61.0
bedhead,30.0
hookworms,16.0
ex cops,16.0
2562,16.0
parkay quarts,47.0
captain beefheart,43.0
cult of youth,8.0
les sins,33.0
antony and the johnsons,47.0
celestial shore,2.0
2:54,14.0
museum of love,10.0
dream police,40.0
elisa ambrogio,1.0
dillon francis,60.0
mind fair,3.0
ricardo donoso,5.0
the afghan whigs,40.0
haerts,33.0
cave,70.0
livity sound,22.0
richard dawson,38.0
megafortress,1.0
obliterations,2.0
dirty beaches,31.0
pianos become the teeth,34.0
deptford goth,28.0
a certain ratio,30.0
mineral,36.0
grouper,61.0
medicine,23.0
black milk,41.0
bell gardens,1.0
the twilight sad,40.0
pig destroyer,39.0
these new puritans,34.0
objekt,27.0
the budos band,53.0
field report,15.0
scott walker + sunn o))),41.0
nude beach,3.0
kiesza,55.0
horse feathers,37.0
menace ruine,22.0
...and you will know us by the trail of dead,36.0
lewis,79.0
felicita,22.0
jessie ware,58.0
thurston moore,32.0
tops,48.0
mark lanegan band,50.0
a-wax,41.0
dntel,28.0
jawbreaker,40.0
kindness,34.0
kele,54.0
drexciya,32.0
a winged victory for the sullen,44.0
pharmakon,20.0
kevin drumm,12.0
allo darlin',24.0
boards of canada,57.0
cut hands,2.0
kleerup,47.0
meatbodies,30.0
foxygen,43.0
stars,66.0
dads,27.0
absolutely free,5.0
xylouris white,12.0
ex hex,22.0
vashti bunyan,48.0
marianne faithfull,56.0
kode9 & the spaceape,1.0
single mothers,28.0
iceage,33.0
sbtrkt,49.0
sam amidon,36.0
darkspace,18.0
zola jesus,37.0
the vaselines,36.0
excepter,2.0
nocturnal poisoning,2.0
caribou,57.0
johnny marr,50.0
the rural alberta advantage,41.0
inspiral carpets,42.0
flying lotus,58.0
godflesh,36.0
peaking lights,28.0
sun ra and his arkestra,31.0
pissed jeans,30.0
birdman,66.0
rich homie quan,67.0
luke james,39.0
dj spoko,23.0
fela kuti,49.0
thom yorke,59.0
sea oleena,36.0
ymusic,35.0
masters at work,38.0
electric wizard,49.0
the drums,63.0
the aislers set,18.0
takako minekawa,21.0
dustin wong,16.0
nehruviandoom,35.0
the history of apple pie,4.0
alice gerrard,23.0
s,95.0
z,88.0
witch mountain,12.0
julian casablancas + the voidz,55.0
mapei,53.0
freeway,53.0
lydia ainsworth,21.0
yung lean,68.0
laetitia sadier,47.0
arp,25.0
perfume genius,58.0
alt-j,70.0
suicideyear,48.0
king tuff,36.0
whirr,56.0
salt cathedral,30.0
shellac,35.0
foxes in fiction,32.0
dan'l boone,44.0
this will destroy you,44.0
so cow,7.0
los angeles police department,10.0
mecca normal,8.0
tweedy,26.0
call super,23.0
anjou,1.0
ides of gemini,5.0
mr twin sister,43.0
royal blood,63.0
iron reagan,32.0
my brightest diamond,32.0
vessel,53.0
shintaro sakamoto,42.0
hamish kilgour,22.0
u2,78.0
jhen aiko,80.0
the ukiah drag,0.0
death from above 1979,47.0
tennis,52.0
ballet school,7.0
lee gamble,18.0
jo johnson,1.0
karen o,50.0
avi buffalo,23.0
sloan,40.0
wara from the nbhd,0.0
robert plant,56.0
tricky,55.0
aby ngana diop,8.0
interpol,63.0
ital,61.0
jennifer castle,27.0
mazes,8.0
shxcxchcxsh,25.0
earth,75.0
zammuto,26.0
yob,31.0
sinkane,34.0
game theory,17.0
sinoia caves,30.0
the juan maclean,33.0
music blues,0.0
mono/poly,32.0
j mascis,36.0
basement jaxx,57.0
the wytches,28.0
dark sky,10.0
il sogno del marinaio,4.0
the bug,42.0
cold specks,27.0
robyn hitchcock,28.0
marcel dettmann,34.0
the new pornographers,42.0
jason feathers,3.0
connections,4.0
alraune,0.0
jj,62.0
the young,42.0
literature,29.0
castanets,22.0
sinad o'connor,64.0
kimbra,71.0
black rain,36.0
the rentals,31.0
the gaslight anthem,53.0
coachwhips,22.0
tashi dorji,8.0
faltydl,25.0
childhood,24.0
b l a c k i e,16.0
mirel wagner,27.0
porter robinson,63.0
moir,67.0
zeitkratzer,6.0
kenny dope,60.0
electric wrms,27.0
lil silva,39.0
nachtmystium,21.0
mozarts sister,4.0
king louie,43.0
desertshore,20.0
martyrdd,56.0
naomi punk,8.0
the rosebuds,31.0
abysmal lord,17.0
bear in heaven,25.0
spider bags,7.0
the #1s,2.0
hideki kaji,24.0
dama/libra,0.0
spoon,56.0
david kilgour and the heavy eights,25.0
geoffrey o'connor,15.0
apache dropout,0.0
wolfgang voigt,13.0
dikembe,36.0
stardeath and white dwarfs,15.0
jenny lewis,46.0
hanssen,17.0
puce mary,26.0
lawrence english,34.0
novembers doom,29.0
the raveonettes,43.0
default genders,0.0
actual water,2.0
zackey force funk,34.0
the unicorns,33.0
11:11,40.0
naomi shelton & the gospel queens,66.0
jim-e stack,38.0
mutilation rites,3.0
shabazz palaces,33.0
hooray for earth,25.0
the muffs,38.0
ultramantis black,1.0
gene the southern child,0.0
the black angels,46.0
the acid,38.0
drcarlsonalbion,2.0
tessela,19.0
white fence,34.0
melted toys,3.0
la roux,64.0
the amazing snakeheads,15.0
freeman,27.0
landlady,12.0
luluc,31.0
ps i love you,5.0
anna calvi,39.0
goatwhore,31.0
alvvays,59.0
liam betson,24.0
trepaneringsritualen,16.0
anand wilder,10.0
honeyblood,25.0
mr. dream,0.0
cocteau twins,66.0
rioux,6.0
stephon alexander,3.0
united waters,0.0
united nations,15.0
dj dodger stadium,47.0
woman's hour,12.0
sons of magdalene,11.0
peter murphy,46.0
morrissey,60.0
jungle,74.0
matthewdavid,17.0
reigning sound,28.0
mellowhype,38.0
tonstartssbandht,34.0
wolves in the throne room,31.0
spazzkid,16.0
late bloomer,3.0
babe rainbow,50.0
black anvil,9.0
sighs,16.0
will saul,31.0
braid,37.0
kyary pamyu pamyu,51.0
the proper ornaments,19.0
the skygreen leopards,7.0
kasai allstars,12.0
fhloston paradigm,3.0
what moon things,2.0
nonono,46.0
karl hyde,5.0
the vacant lots,18.0
serpentine path,2.0
beverly,37.0
ooioo,17.0
motion sickness of time travel,1.0
caustic window,27.0
plastikman,36.0
cabaret voltaire,31.0
eaters,0.0
dalhous,5.0
riff raff,52.0
circulatory system,17.0
trap them,23.0
old 97's,41.0
total control,14.0
craig leon,29.0
ulises conti,15.0
mastodon,59.0
black bananas,5.0
peter matthew bauer,19.0
eyehategod,42.0
a sunny day in glasgow,20.0
strand of oaks,34.0
jobriath,16.0
harassor,1.0
dan melchior und das menace,16.0
matteah baim,1.0
the knife,49.0
open mike eagle,40.0
willie nelson,71.0
dead congregation,24.0
sam smith,84.0
richard reed parry,29.0
brian reitzell,33.0
nightfell,5.0
the antlers,42.0
big freedia,49.0
the felice brothers,43.0
donnie & joe emerson,42.0
mariah carey,79.0
klaxons,50.0
martyn,25.0
yaitw,18.0
kyle bobby dunn,27.0
crowbar,47.0
first aid kit,62.0
chris schlarb,10.0
enabler,13.0
stick against stone,0.0
the fresh & onlys,20.0
tomas barfod,25.0
the atlas moth,8.0
alice boman,39.0
popcaan,66.0
chrissie hynde,49.0
dub thompson,0.0
craft spells,39.0
watter,4.0
50 cent,84.0
priests,27.0
sbastien tellier,49.0
mayhem,49.0
taylor mcferrin,34.0
obn iiis,4.0
well$,24.0
lee bains iii & the glory fires,13.0
gold-bears,2.0
"buzz ""king buzzo"" osborne",0.0
tom carter,2.0
pat murano,0.0
david lang,31.0
clap your hands say yeah,42.0
tigers jaw,50.0
ned doheny,35.0
lee fields & the expressions,46.0
the orwells,40.0
dj sprinkles,13.0
copeland,40.0
trash talk,29.0
hercules and love affair,45.0
officer!,0.0
napolian,14.0
g-side,25.0
leslie winer,10.0
sylvan esso,55.0
haunted hearts,1.0
popstrangers,6.0
k. leimer,33.0
the clientele,43.0
echo and the bunnymen,57.0
stephen omalley,62.0
randall dunn,0.0
owen pallett,52.0
future death,29.0
lantls,67.0
leyland kirby presents v/vm,47.0
white sea,27.0
carl hultgren,49.0
traxman,26.0
vangelis katsoulis,12.0
datashock,3.0
elijah & skilliam,0.0
big boys,21.0
cold cave,41.0
mason bates,15.0
arto lindsay,33.0
trans am,23.0
herzog,4.0
agalloch,40.0
moon b,47.0
young widows,24.0
iamsu!,60.0
sculpture,22.0
chromeo,59.0
low pros,14.0
fatima,37.0
wooden wand,9.0
planning for burial,34.0
the black keys,71.0
gruff rhys,43.0
teitanblood,20.0
little dragon,61.0
mirah,38.0
sean nicholas savage,30.0
kemialliset ystvt,29.0
paws,71.0
mike adams at his honest weight,4.0
lily allen,69.0
lee,70.0
ar-2,0.0
mark e,1.0
nat baldwin,2.0
baths,50.0
makthaverskan,28.0
sfv acid,14.0
maria minerva,22.0
tune-yards,41.0
the horrors,47.0
young magic,27.0
wold,60.0
lykke li,69.0
fujiya & miyagi,42.0
papercuts,25.0
chad vangaalen,30.0
silkworm,21.0
creation rebel,22.0
new age steppers,15.0
mincemeat or tenspeed,0.0
ramona lisa,30.0
sd laika,18.0
wovenhand,32.0
kelis,63.0
pink mountaintops,21.0
survival knife,1.0
the moles,22.0
good willsmith,3.0
damon albarn,48.0
jacques greene,39.0
thee silver mt. zion memorial orchestra,37.0
larry heard,36.0
jesse boykins iii,41.0
a minor forest,13.0
old wainds,3.0
doss,36.0
pharoahe monch,53.0
final conflict,15.0
heterotic,2.0
david lynch,46.0
tourist,53.0
lcd soundsystem,61.0
floor,23.0
life without buildings,38.0
j. spaceman,16.0
kid millions,2.0
sza,95.0
lockah,6.0
plague vendor,30.0
duck sauce,53.0
davinci,42.0
for against,22.0
slint,42.0
dj q,54.0
wyrd visions,58.0
bikini kill,52.0
chet faker,61.0
walls/oram,54.0
howler,17.0
the both,13.0
amps for christ,10.0
ghetto ghouls,7.0
impetuous ritual,11.0
girl talk,49.0
school of language,4.0
downliners sekt,2.0
deleted scenes,2.0
triptykon,27.0
chuck inglish,32.0
cute heels,4.0
golden retriever,4.0
tweens,7.0
mobb deep,67.0
z-machines,44.0
the skull defekts,4.0
sohn,48.0
man forever with so percussion,27.0
avey tares slasher flicks,21.0
off!,30.0
fireworks,26.0
pyrrhon,19.0
loops haunt,1.0
young & sick,38.0
jon langford,8.0
the faint,40.0
teebs,42.0
white hinterland,21.0
sage the gemini,65.0
sisyphus,20.0
millie & andrea,9.0
nux vomica,4.0
legowelt,31.0
orcas,11.0
architecture in helsinki,37.0
pure x,36.0
manchester orchestra,62.0
ausmuteants,29.0
cloud nothings,38.0
small black,42.0
bart davenport,28.0
gang wizard,39.0
the hold steady,40.0
2ne1,62.0
chimurenga renaissance,3.0
pilgrim,6.0
johnny cash,75.0
the bad plus,35.0
the brothers & sisters,18.0
horseback,10.0
carla bozulich,9.0
twilight,42.0
future islands,60.0
lavender country,20.0
owls,16.0
tony molina,28.0
grieves,48.0
liars,32.0
pan sonic,21.0
dutch e germ,0.0
skrillex,76.0
evian christ,26.0
jonny greenwood,46.0
tokyo police club,43.0
jon porras,4.0
black lips,40.0
current 93,35.0
offenders,8.0
vertical scratchers,1.0
kevin drew,23.0
the coathangers,27.0
woo,47.0
vermont,4.0
lyla foy,27.0
the war on drugs,61.0
tycho,58.0
beth israel,0.0
perfect pussy,11.0
nocando,14.0
bo anders persson,0.0
trust,47.0
move d,39.0
the unsemble,41.0
ringworm,26.0
elbow,54.0
nuel,88.0
posse,35.0
dean wareham,25.0
peter walker,4.0
benedek,26.0
dodsferd,12.0
hauschka,37.0
tensnake,52.0
d. charles speer and the helix,39.0
axxa/abraxas,1.0
cynic,36.0
pharrell,82.0
m,90.0
linda perhacs,43.0
laibach,38.0
eadonmm,0.0
lakutis,10.0
perc,47.0
empty flowers,0.0
whomadewho,59.0
patten,11.0
obey city,5.0
real estate,48.0
nguzunguzu,13.0
death vessel,8.0
the notwist,37.0
skaters,27.0
superchunk,35.0
behemoth,52.0
christina vantzou,29.0
the souljazz orchestra,41.0
beck,66.0
damaged bug,27.0
ramesh,28.0
st. vincent,63.0
neneh cherry,53.0
magic touch,29.0
dena,14.0
bleeding rainbow,4.0
new bums,3.0
peter buck,18.0
slough feg,17.0
untold,16.0
optimo,37.0
karen gwyer,5.0
kalle mattson,9.0
shocking pinks,8.0
illum sphere,17.0
culted,5.0
junius,22.0
hurray for the riff raff,48.0
leyland kirby,6.0
solids,8.0
woods of desolation,22.0
hands,50.0
lydia loveless,28.0
neil finn,42.0
cheatahs,15.0
planningtorock,33.0
brigitte fontaine,37.0
nina persson,38.0
helms alee,24.0
mantar,37.0
lo-fang,36.0
afterhours,43.0
temples,42.0
cibo matto,44.0
foetus,18.0
dog bite,19.0
tinariwen,48.0
total slacker,7.0
gridlink,15.0
thumpers,10.0
feadz,17.0
white rainbow,4.0
have a nice life,55.0
cheveu,13.0
guardian alien,1.0
jerome lol,5.0
woodsman,42.0
broken bells,55.0
bombay bicycle club,56.0
aztec camera,44.0
dj dog dick,0.0
aa,67.0
snowbird,10.0
lost in the trees,23.0
bohren & der club of gore,41.0
cymbals,20.0
ceo,59.0
maximo park,46.0
david first,50.0
julie byrne,40.0
uncle tupelo,41.0
supreme cuts,13.0
stefan jaworzyn,0.0
gem club,34.0
actress,41.0
pontiak,14.0
cashmere cat,56.0
demilich,21.0
dum dum girls,38.0
cities aviv,47.0
hospitality,30.0
argentinum astrum,66.0
jeremy jay,17.0
tara jane o'neil,16.0
drowners,25.0
step brothers,21.0
bill callahan,47.0
damien jurado,49.0
indian,44.0
michael yonkers,21.0
nick drake,62.0
vex,42.0
shy boys,19.0
doug paisley,24.0
alcest,48.0
graze,37.0
the john lurie national orchestra,5.0
pangaea,30.0
i break horses,25.0
