name, score
clipping.,53
yohuna,5
de la soul,62
mekons,33
nots,62
d.a.r.k.,11
angel olsen,51
junior boys,34
serpentwithfeet,56
william basinski,42
young thug,85
prince,72
soundwalk collective,26
patti smith,58
jesse paris smith,18
funk factory,0
prophets of rage,41
the beach boys,72
jon hopkins,58
the dead c,8
vince staples,68
crystal castles,72
porches,42
nathan bowles,23
cass mccombs,42
zaytoven,52
subrosa,23
motion graphics,20
the roots,61
katy goodman,9
greta morgan,10
kornl kovcs,35
controlled bleeding,14
cassius,49
red pill,52
feral,22
carl broemel,30
frank ocean,88
battle trance,0
tory lanez,82
brendan canning,12
charlotte day wilson,58
tokyo black star,5
sharon jones and the dap-kings,59
tree,76
mild high club,59
marielle v. jakobsons,3
scott walker,41
scott hirsch,23
morgan delt,34
steve lehman,15
slbyone,15
stevie wonder,76
ka,92
atticus ross,41
leopold ross,38
bobby krlic,33
jefre cantu-ledesma,34
rattle,50
dj earl,17
sonic youth,58
the grifters,12
gonjasufi,29
atmosphere,56
fury,21
hockey dad,52
kyle dixon,53
michael stein,53
lexxi,35
alex cameron,40
partynextdoor,88
pill,42
mal devisa,18
lando chill,24
rae sremmurd,72
slow club,30
roosevelt,57
pj harvey,59
2 chainz,77
the chills,37
ryley walker,32
the 7th plain,12
toro y moi,61
factory floor,21
themind,41
of montreal,52
dj snake,78
elvis presley,78
m. geddes gengras,10
jon bap,61
katie dey,24
zhu,63
tobacco,41
kllo,41
wild beasts,36
noname,52
michal turtle,9
cluster ensemble,12
michael jackson,84
sunny day real estate,49
cam & china,22
nels cline,35
panopticon,30
dj khaled,75
trim,94
delia derbyshire,23
elsa stansfield,0
rival consoles,47
descendents,56
haley bonar,25
blowout,21
dinosaur jr.,51
delroy edwards,32
thunder tillman,3
cheena,75
nao,58
steve aoki,72
shy layers,7
owen,34
titus andronicus,30
hieroglyphic being,15
metronome,33
mary lattimore,43
jeff zeigler,19
red hot chili peppers,84
nina simone,69
no joy,31
psalm zero,1
elza soares,51
william s. burroughs,20
stwo,45
frankie reyes,31
lil durk,81
lori mckenna,44
tristan perich,9
lil yachty,79
russian circles,45
florian kupfer,8
hammers of misfortune,12
gap dream,26
shy glizzy,62
big business,32
snoop dogg,83
blu,59
nottz,27
michael kiwanuka,69
notekillers,1
21 savage,88
metro boomin,88
wymond miles,2
the amazing,52
jherek bischoff,20
floating points,51
z-ro,56
pauline oliveros,23
jamila woods,49
dreezy,51
max romeo,51
johnny foreigner,29
ian william craig,17
abra,94
towkio,43
wreck and reference,13
badbadnotgood,64
mstrkrft,34
pylon,36
wolfgang tillmans,18
clams casino,71
elysia crampton,13
camp cope,34
shackleton,25
konx-om-pax,23
the julie ruin,30
migos,76
mark barrott,34
shura,46
betty davis,38
kel valhaal,0
jackmaster,26
schoolboy q,76
darkstar,24
trust punks,1
tangents,7
arca,65
lindstrm,37
martha,47
john roberts,37
maxwell,59
kelsey lu,47
eric copeland,15
gone is gone,18
vivien goldman,16
risn murphy,30
araabmuzik,41
gggs,49
roy wood$,60
lauryn hill,74
metronomy,63
scharpling & wurster,4
marisa anderson,34
steven julien,23
the avalanches,56
nite-funk,11
nils frahm,61
woodkid,68
gojira,65
aphex twin,66
inter arma,21
the game,72
hot hot heat,40
blink-182,78
magic!,68
weaves,17
egisto macchi,4
bat for lashes,45
mick harvey,37
alice bag,12
stephen steinbrink,19
pulp,60
desiigner,61
nice as fuck,22
look mexico,17
sunpath,0
dj esco,48
james ferraro,27
puro instinct,9
david toop,14
blood orange,71
river tiber,51
lets eat grandma,37
lungfish,31
jim orourke,25
fennesz,37
deerhoof,39
told slant,27
amy klein,0
blut aus nord,30
vangelist,61
caveman,23
bjarki,32
suicide,85
the avett brothers,60
delorean,23
yumi zouma,53
jay arner,13
dj shadow,63
grace jones,54
john cage,37
allen toussaint,44
g.l.o.s.s.,26
laura mvula,40
odonis odonis,18
saqqara mastabas,0
disclosure,76
wye oak,47
sui zhen,20
the gotobeds,9
mitski,82
bishop nehru,41
brigid mae power,18
rlyr,1
swans,48
todd terje,46
the olsens,65
ro james,44
palmistry,37
will butler,32
vatican shadow,26
weval,48
george harrison,70
case/lang/veirs,0
yung,69
kodak black,81
nails,42
jake bugg,57
the fall,44
audion,41
van morrison,73
nick jonas,65
nite jewel,32
laraaji,41
sun araw,33
waxahatchee,57
dan lissvik,21
mozzy,62
diarrhea planet,23
band of horses,61
the temper trap,69
jackie lynn,11
nate wooley,9
air,64
plaid,37
holger czukay,27
sumac,26
cornelius,41
alexis taylor,28
ladyhawke,44
fear of men,22
garbage,60
speedy ortiz,34
floorplan,35
margaret glaspy,32
vic mensa,56
paul simon,70
peter bjorn and john,62
terry reid,36
tegan and sara,56
mourn,27
xenia rubinos,26
the strokes,77
the kills,50
lone,59
white zombie,57
whitney,77
big thief,70
melvins,48
moonface,19
siinai,9
payroll giovanni,48
slum village,55
steve gunn,39
the wailers,60
cough,26
joey purp,47
fifth harmony,70
dm-funk,47
seiho,26
william tyler,39
jank,34
mark kozelek,35
holy fuck,58
sepalcure,16
angry angles,12
kevin gates,73
beth orton,42
minor victories,15
angel du$t,40
daniel romano,34
kristin kontrol,9
pup,51
olga bell,8
rebolledo,25
robert glasper,58
miles davis,64
classixx,42
africans with mainframes,0
the hotelier,40
the underachievers,47
allen ginsberg,28
debo band,2
wolf parade,42
islands,32
adult jazz,21
ariana grande,92
gold panda,39
mock orange,21
david bowie,77
so so glos,16
pantha du prince,32
eagulls,22
christian naujoks,2
marissa nadler,34
