name, score
bell witch,29
loke rahbek & puce mary,4
mg,77
jackson scott,7
hagerty-toth band,0
daniele baldelli,26
slug,45
blur,70
paul de jong,10
looper,26
yelawolf,66
trey songz,71
bill fay,37
samo sound boy,0
sasha go hard,16
jeremiah jae,31
beauty pill,9
alabama shakes,61
death,58
the very best,39
roach gigz,26
chaos echoes,1
passion pit,60
calexico,46
red death,11
tei shi,47
tribulation,35
abyss,13
squarepusher,44
san fermin,38
the breathing effect,30
"tyler, the creator",91
kmd,40
marina and the diamonds,74
great lake swimmers,46
tori amos,56
this is the kit,45
low jack,13
kathryn calder,10
m.c. schmidt,41
pale blue,36
ava luna,10
trickfinger,14
delia gonzalez,6
matt & kim,49
tal national,12
sam cohen,32
mac mccaughan,16
obnox,3
ceej,38
curren$y,63
suuns and jerusalem in my heart,1
east india youth,8
young fathers,47
fred thomas,11
brian wilson,40
doldrums,25
the wombats,65
royal thunder,24
broken water,7
anna caragnano & donato dozzy,27
gabi,84
colleen,24
say lou lou,36
shlohmo,47
the mountain goats,55
lapalux,38
lower dens,32
the soft moon,37
ludacris,78
the sonics,42
michael rault,25
death cab for cutie,63
wale,74
t-pain,79
yonatan gat,7
godspeed you! black emperor,47
jodeci,58
benot pioulard,34
faith healer,9
disasterpeace,49
fort romeau,34
tufthunter,0
sufjan stevens,71
the prodigy,66
fllakzoid,44
madeon,55
laura marling,56
ratking,22
thursday,48
liturgy,26
scuba,27
anasazi,3
jesse malin,35
chilly gonzales,52
action bronson,63
jam city,38
chastity belt,40
the cribs,44
earl sweatshirt,70
jimmy whispers,17
the jon spencer blues explosion,42
ilyas ahmed,16
people of the north,0
courtney barnett,53
vetiver,38
the go! team,41
stone jack jones,6
the silence,32
twin shadow,49
andy kim,38
etiquette,3
inventions,14
palmbomen ii,17
maxo kream,58
lightning bolt,30
houndstooth,21
flicia atkinson,25
modest mouse,64
ryuichi sakamoto,64
laura welsh,42
rahel,23
glen hansard,53
tobias jesso jr.,33
popol vuh,34
florian fricke,62
two-9,24
pyramids,14
cana,38
madonna,80
white gzus,0
jessica lea mayfield,34
seth avett,33
enslaved,38
lieutenant,3
anamai,0
ranger,33
mo kolours,23
heems,36
pearson sound,29
sarah bethe nelson,2
jeff the brotherhood,28
cannibal ox,31
young guv,20
eskmo,30
yowler,21
black cilice,1
matthew e. white,38
swervedriver,36
crypt sermon,26
og maco,38
dick diver,18
the black ryder,26
tom brosseau,14
radical dads,1
mastery,19
crookers,59
lady lamb the beekeeper,47
moon duo,35
sam prekop,29
rima kato,2
levon vincent,17
sannhet,8
thin lizzy,62
estelle,67
david borden,8
purity ring,49
noel gallagher's high flying birds,59
lead belly,39
eula,5
pile,35
mndr,44
sweet valley,23
dutch uncles,18
an autumn for crippled children,28
future brown,6
gang of four,48
pelican,36
the pop group,22
big sean,77
black twig pickers,3
theesatisfaction,11
tica douglas,0
steve earle & the dukes,60
eternal tapestry,9
diet cig,30
colleen green,24
dan deacon,41
torche,31
screaming females,36
ibeyi,50
the king khan & bbq show,36
the juliana hatfield three,26
twin river,5
tropics,33
the wave pictures,27
phosphorescent,51
kate pierson,18
dj sotofett,14
pika,41
jos gonzlez,65
krill,22
felix k,2
carter tutti,7
grooms,4
the staple singers,52
damon & naomi,14
ghostface killah,64
joker,34
s. carey,41
beat spacek,9
hundred waters,43
anthony naples,35
a place to bury strangers,36
sir richard bishop,20
the supreme jubilees,33
sonny and the sunsets,35
title fight,65
pond,48
big noble,4
emmy the great,24
ne-yo,82
quarterbacks,7
sherwood & pinch,4
mikky ekko,69
father john misty,70
ex-cult,13
rone,65
endless bummer,1
jeff bridges,24
africa express,37
leviathan,32
zex,42
the districts,39
matana roberts,14
noveller,16
william ryan fritch,23
mount eerie,45
phantom posse,4
john tejada,40
breakfast in fur,1
jib kidder,3
joey bada$$,73
nite fields,5
murder by death,43
half japanese,31
james blackshaw,19
two gallants,32
all we are,23
jazmine sullivan,63
the church,51
jack name,25
gaz coombes,36
xibalba,30
zs,95
jessica pratt,59
twerps,25
herbert,61
napalm death,46
jan st. werner,2
doomtree,30
thou,67
howlin rain,10
lino capra vaccina,0
trinidad james,56
alasdair roberts,18
ro maron,58
peals,15
young ejecta,34
lena willikens,11
menace beach,56
viet cong,2
lupe fiasco,67
the go-betweens,38
the sidekicks,21
young l,39
belle and sebastian,56
mark ronson,77
erase errata,10
elephant micah,4
cloakroom,39
sleater-kinney,43
california x,4
liam hayes,5
mcferrdog,0
leather corduroys,60
the dodos,33
amen dunes,38
disappears,12
mike will made-it,67
secret circuit,13
ascension,14
geotic,47
mike jones,61
red red meat,11
james murphy,27
atelje,16
gaussian curve,35
tut,45
arthur,38
ghost culture,29
the advisory circle,22
niia x the range,57
brian chippendale,0
greg saunier,7
dangelo,62
the vanguard,36
nicki minaj,86
theo parrish,35
william onyeabor,41
canooooopy,0
anatomy of habit,0
usnea,5
hashman deejay,2
mary j. blige,72
primordial,33
mr. mitch,26
jordan de la sierra,16
the smashing pumpkins,75
los campesinos!,52
chumped,20
old man gloom,10
flake music,21
giant squid,14
steffi,28
diplo,78
mr. oizo,53
juju & jordash,6
silk rhodes,32
sd,54
wu-tang clan,68
jon hassell,33
big k.r.i.t.,57
at the gates,45
she & him,51
mark mcguire,20
trash kit,5
frank & tony,26
songs: ohia,45
rl grime,62
raspberry bulbs,9
gabriel saloman,0
mouse on mars,29
hound,58
tony allen,46
giraffage,42
jay shepheard,20
ariel kalma,26
faust,30
barnt,17
fugazi,56
buzzcocks,49
robert wyatt,35
serengeti,37
bo ningen,15
bryan ferry,60
jesse ruins,28
ariel pink,48
dan bodan,10
tv on the radio,58
dean blunt,63
iamamiwhoami,37
atriarch,31
ryksopp,61
bedhead,30
hookworms,16
ex cops,16
2562,16
parkay quarts,47
captain beefheart,43
cult of youth,8
les sins,33
antony and the johnsons,47
celestial shore,2
2:54,14
museum of love,10
dream police,40
elisa ambrogio,1
dillon francis,60
mind fair,3
ricardo donoso,5
the afghan whigs,40
haerts,33
cave,70
livity sound,22
richard dawson,38
megafortress,1
obliterations,2
dirty beaches,31
pianos become the teeth,34
deptford goth,28
a certain ratio,30
mineral,36
grouper,61
medicine,23
black milk,41
bell gardens,1
the twilight sad,40
pig destroyer,39
these new puritans,34
objekt,27
the budos band,53
field report,15
scott walker + sunn o))),41
nude beach,3
kiesza,55
horse feathers,37
menace ruine,22
...and you will know us by the trail of dead,36
lewis,79
felicita,22
jessie ware,58
thurston moore,32
tops,48
mark lanegan band,50
a-wax,41
dntel,28
jawbreaker,40
kindness,34
kele,54
drexciya,32
a winged victory for the sullen,44
pharmakon,20
kevin drumm,12
allo darlin',24
boards of canada,57
cut hands,2
kleerup,47
meatbodies,30
foxygen,43
stars,66
dads,27
absolutely free,5
xylouris white,12
ex hex,22
vashti bunyan,48
marianne faithfull,56
kode9 & the spaceape,1
single mothers,28
iceage,33
sbtrkt,49
sam amidon,36
darkspace,18
zola jesus,37
the vaselines,36
excepter,2
nocturnal poisoning,2
caribou,57
johnny marr,50
the rural alberta advantage,41
inspiral carpets,42
flying lotus,58
godflesh,36
peaking lights,28
sun ra and his arkestra,31
pissed jeans,30
birdman,66
rich homie quan,67
luke james,39
dj spoko,23
fela kuti,49
thom yorke,59
sea oleena,36
ymusic,35
masters at work,38
electric wizard,49
the drums,63
the aislers set,18
takako minekawa,21
dustin wong,16
nehruviandoom,35
the history of apple pie,4
alice gerrard,23
s,95
z,88
witch mountain,12
julian casablancas + the voidz,55
mapei,53
freeway,53
lydia ainsworth,21
yung lean,68
laetitia sadier,47
arp,25
perfume genius,58
alt-j,70
suicideyear,48
king tuff,36
whirr,56
salt cathedral,30
shellac,35
foxes in fiction,32
dan'l boone,44
this will destroy you,44
so cow,7
los angeles police department,10
mecca normal,8
tweedy,26
call super,23
anjou,1
ides of gemini,5
mr twin sister,43
royal blood,63
iron reagan,32
my brightest diamond,32
vessel,53
shintaro sakamoto,42
hamish kilgour,22
u2,78
jhen aiko,80
the ukiah drag,0
death from above 1979,47
tennis,52
ballet school,7
lee gamble,18
jo johnson,1
karen o,50
avi buffalo,23
sloan,40
wara from the nbhd,0
robert plant,56
tricky,55
aby ngana diop,8
interpol,63
ital,61
jennifer castle,27
mazes,8
shxcxchcxsh,25
earth,75
zammuto,26
yob,31
sinkane,34
game theory,17
sinoia caves,30
the juan maclean,33
music blues,0
mono/poly,32
j mascis,36
basement jaxx,57
the wytches,28
dark sky,10
il sogno del marinaio,4
the bug,42
cold specks,27
robyn hitchcock,28
marcel dettmann,34
the new pornographers,42
jason feathers,3
connections,4
alraune,0
jj,62
the young,42
literature,29
castanets,22
sinad o'connor,64
kimbra,71
black rain,36
the rentals,31
the gaslight anthem,53
coachwhips,22
tashi dorji,8
faltydl,25
childhood,24
b l a c k i e,16
mirel wagner,27
porter robinson,63
moir,67
zeitkratzer,6
kenny dope,60
electric wrms,27
lil silva,39
nachtmystium,21
mozarts sister,4
king louie,43
desertshore,20
martyrdd,56
naomi punk,8
the rosebuds,31
abysmal lord,17
bear in heaven,25
spider bags,7
the #1s,2
hideki kaji,24
dama/libra,0
spoon,56
david kilgour and the heavy eights,25
geoffrey o'connor,15
apache dropout,0
wolfgang voigt,13
dikembe,36
stardeath and white dwarfs,15
jenny lewis,46
hanssen,17
puce mary,26
lawrence english,34
novembers doom,29
the raveonettes,43
default genders,0
actual water,2
zackey force funk,34
the unicorns,33
11:11,40
naomi shelton & the gospel queens,66
jim-e stack,38
mutilation rites,3
shabazz palaces,33
hooray for earth,25
the muffs,38
ultramantis black,1
gene the southern child,0
the black angels,46
the acid,38
drcarlsonalbion,2
tessela,19
white fence,34
melted toys,3
la roux,64
the amazing snakeheads,15
freeman,27
landlady,12
luluc,31
ps i love you,5
anna calvi,39
goatwhore,31
alvvays,59
liam betson,24
trepaneringsritualen,16
anand wilder,10
honeyblood,25
mr. dream,0
cocteau twins,66
rioux,6
stephon alexander,3
united waters,0
united nations,15
dj dodger stadium,47
woman's hour,12
sons of magdalene,11
peter murphy,46
morrissey,60
jungle,74
matthewdavid,17
reigning sound,28
mellowhype,38
tonstartssbandht,34
wolves in the throne room,31
spazzkid,16
late bloomer,3
babe rainbow,50
black anvil,9
sighs,16
will saul,31
braid,37
kyary pamyu pamyu,51
the proper ornaments,19
the skygreen leopards,7
kasai allstars,12
fhloston paradigm,3
what moon things,2
nonono,46
karl hyde,5
the vacant lots,18
serpentine path,2
beverly,37
ooioo,17
motion sickness of time travel,1
caustic window,27
plastikman,36
cabaret voltaire,31
eaters,0
dalhous,5
riff raff,52
circulatory system,17
trap them,23
old 97's,41
total control,14
craig leon,29
ulises conti,15
mastodon,59
black bananas,5
peter matthew bauer,19
eyehategod,42
a sunny day in glasgow,20
strand of oaks,34
jobriath,16
harassor,1
dan melchior und das menace,16
matteah baim,1
the knife,49
open mike eagle,40
willie nelson,71
dead congregation,24
sam smith,84
richard reed parry,29
brian reitzell,33
nightfell,5
the antlers,42
big freedia,49
the felice brothers,43
donnie & joe emerson,42
mariah carey,79
klaxons,50
martyn,25
yaitw,18
kyle bobby dunn,27
crowbar,47
first aid kit,62
chris schlarb,10
enabler,13
stick against stone,0
the fresh & onlys,20
tomas barfod,25
the atlas moth,8
alice boman,39
popcaan,66
chrissie hynde,49
dub thompson,0
craft spells,39
watter,4
50 cent,84
priests,27
sbastien tellier,49
mayhem,49
taylor mcferrin,34
obn iiis,4
well$,24
lee bains iii & the glory fires,13
gold-bears,2
"buzz ""king buzzo"" osborne",0
tom carter,2
pat murano,0
david lang,31
clap your hands say yeah,42
tigers jaw,50
ned doheny,35
lee fields & the expressions,46
the orwells,40
dj sprinkles,13
copeland,40
trash talk,29
hercules and love affair,45
officer!,0
napolian,14
g-side,25
leslie winer,10
sylvan esso,55
haunted hearts,1
popstrangers,6
k. leimer,33
the clientele,43
echo and the bunnymen,57
stephen omalley,62
randall dunn,0
owen pallett,52
future death,29
lantls,67
leyland kirby presents v/vm,47
white sea,27
carl hultgren,49
traxman,26
vangelis katsoulis,12
datashock,3
elijah & skilliam,0
big boys,21
cold cave,41
mason bates,15
arto lindsay,33
trans am,23
herzog,4
agalloch,40
moon b,47
young widows,24
iamsu!,60
sculpture,22
chromeo,59
low pros,14
fatima,37
wooden wand,9
planning for burial,34
the black keys,71
gruff rhys,43
teitanblood,20
little dragon,61
mirah,38
sean nicholas savage,30
kemialliset ystvt,29
paws,71
mike adams at his honest weight,4
lily allen,69
lee,70
ar-2,0
mark e,1
nat baldwin,2
baths,50
makthaverskan,28
sfv acid,14
maria minerva,22
tune-yards,41
the horrors,47
young magic,27
wold,60
lykke li,69
fujiya & miyagi,42
papercuts,25
chad vangaalen,30
silkworm,21
creation rebel,22
new age steppers,15
mincemeat or tenspeed,0
ramona lisa,30
sd laika,18
wovenhand,32
kelis,63
pink mountaintops,21
survival knife,1
the moles,22
good willsmith,3
damon albarn,48
jacques greene,39
thee silver mt. zion memorial orchestra,37
larry heard,36
jesse boykins iii,41
a minor forest,13
old wainds,3
doss,36
pharoahe monch,53
final conflict,15
heterotic,2
david lynch,46
tourist,53
lcd soundsystem,61
floor,23
life without buildings,38
j. spaceman,16
kid millions,2
sza,95
lockah,6
plague vendor,30
duck sauce,53
davinci,42
for against,22
slint,42
dj q,54
wyrd visions,58
bikini kill,52
chet faker,61
walls/oram,54
howler,17
the both,13
amps for christ,10
ghetto ghouls,7
impetuous ritual,11
girl talk,49
school of language,4
downliners sekt,2
deleted scenes,2
triptykon,27
chuck inglish,32
cute heels,4
golden retriever,4
tweens,7
mobb deep,67
z-machines,44
the skull defekts,4
sohn,48
man forever with so percussion,27
avey tares slasher flicks,21
off!,30
fireworks,26
pyrrhon,19
loops haunt,1
young & sick,38
jon langford,8
the faint,40
teebs,42
white hinterland,21
sage the gemini,65
sisyphus,20
millie & andrea,9
nux vomica,4
legowelt,31
orcas,11
architecture in helsinki,37
pure x,36
manchester orchestra,62
ausmuteants,29
cloud nothings,38
small black,42
bart davenport,28
gang wizard,39
the hold steady,40
2ne1,62
chimurenga renaissance,3
pilgrim,6
johnny cash,75
the bad plus,35
the brothers & sisters,18
horseback,10
carla bozulich,9
twilight,42
future islands,60
lavender country,20
owls,16
tony molina,28
grieves,48
liars,32
pan sonic,21
dutch e germ,0
skrillex,76
evian christ,26
jonny greenwood,46
tokyo police club,43
jon porras,4
black lips,40
current 93,35
offenders,8
vertical scratchers,1
kevin drew,23
the coathangers,27
woo,47
vermont,4
lyla foy,27
the war on drugs,61
tycho,58
beth israel,0
perfect pussy,11
nocando,14
bo anders persson,0
trust,47
move d,39
the unsemble,41
ringworm,26
elbow,54
nuel,88
posse,35
dean wareham,25
peter walker,4
benedek,26
dodsferd,12
hauschka,37
tensnake,52
d. charles speer and the helix,39
axxa/abraxas,1
cynic,36
pharrell,82
m,90
linda perhacs,43
laibach,38
eadonmm,0
lakutis,10
perc,47
empty flowers,0
whomadewho,59
thug entrancer,0
patten,11
tomas barfod,25
obey city,5
seiho,26
real estate,48
major lazer,76
nguzunguzu,13
various artists,7
death vessel,8
schoolboy q,76
the hotelier,40
ricky eat acid,37
ava luna,10
com truise,57
the notwist,37
moodymann,45
bob mould,41
skaters,27
wild beasts,36
superchunk,35
behemoth,52
christina vantzou,29
the souljazz orchestra,41
beck,66
damaged bug,27
ramesh,28
homeboy sandman,37
tacocat,31
st. vincent,63
neneh cherry,53
magic touch,29
dena,14
bleeding rainbow,4
morrissey,60
new bums,3
peter buck,18
slough feg,17
yautja,16
untold,16
optimo,37
karen gwyer,5
kalle mattson,9
guided by voices,47
shocking pinks,8
illum sphere,17
culted,5
junius,22
phantogram,67
hurray for the riff raff,48
leyland kirby,6
solids,8
woods of desolation,22
angel olsen,51
hands,50
lydia loveless,28
neil finn,42
cheatahs,15
container,15
willis earl beal,25
band of horses,61
planningtorock,33
brigitte fontaine,37
isaiah rashad,70
nina persson,38
helms alee,24
mantar,37
lo-fang,36
speedy ortiz,34
shackleton,25
afterhours,43
temples,42
cibo matto,44
modern baseball,65
foetus,18
dog bite,19
katy b,58
tinariwen,48
total slacker,7
gridlink,15
thumpers,10
marissa nadler,34
holly herndon,23
feadz,17
white rainbow,4
mark mcguire,20
have a nice life,55
gardens & villa,30
cheveu,13
guardian alien,1
xiu xiu,45
mas ysa,14
jerome lol,5
sunn o))),32
ulver,42
woodsman,42
broken bells,55
bombay bicycle club,56
aztec camera,44
dj dog dick,0
aa,67
sun kil moon,49
snowbird,10
lost in the trees,23
bohren & der club of gore,41
cymbals,20
ceo,59
maximo park,46
ty dolla $ign,84
david first,50
julie byrne,40
uncle tupelo,41
quilt,22
tink,60
jess williamson,39
lambchop,39
bibio,52
supreme cuts,13
stefan jaworzyn,0
gem club,34
four tet,63
actress,41
pontiak,14
cashmere cat,56
demilich,21
dum dum girls,38
cities aviv,47
hospitality,30
morgan delt,34
argentinum astrum,66
against me!,52
jeremy jay,17
tara jane o'neil,16
drowners,25
step brothers,21
bill callahan,47
nils frahm,61
damien jurado,49
indian,44
michael yonkers,21
warpaint,48
nick drake,62
jack name,25
vex,42
shy boys,19
thee silver mt. zion memorial orchestra,37
james vincent mcmorrow,57
doug paisley,24
alcest,48
graze,37
mogwai,54
the john lurie national orchestra,5
pangaea,30
guerilla toss,29
hiss golden messenger,48
mark lanegan,50
i break horses,25
big ups,19
lee bannon,13
the velvet underground,63
you blew it!,31
gucci mane,77
audion,41
nina kraviz,44
sharon jones and the dap-kings,59
kool a.d.,27
peter morn,62
the lucksmiths,22
fabolous,66
disclosure,76
cybotron,28
del tha funkee homosapien,53
painted palms,20
the gories,26
bruce springsteen,77
ariel pink,48
roc marciano,53
blank realm,4
lanterns on the lake,32
pixies,70
angel haze,37
self defense family,20
big business,32
sick thoughts,17
busta rhymes,72
q-tip,61
mouse on mars,29
luciano cilio,0
magic trick,37
dudley perkins,21
clams casino,71
king l,54
harold budd,58
ukkonen,4
way through,6
stephen malkmus and the jicks,32
justus khncke,23
barnett + coloccia,0
beyonc,87
e-40,68
drexciya,32
kerridge,4
the verlaines,18
burial,51
the thing,30
lumbar,0
bryce hackford,2
sada bonaire,9
childish gambino,81
the fall,44
ian isiah,32
vastum,16
zachary cale,6
neil young,69
patrick cowley,44
ron morelli,8
vangelist,61
r. kelly,68
david novick,29
robert beatty,29
bjrn torske,27
7 days of funk,19
robert pollard,24
gardland,0
inquisition,33
don trip,52
starlito,48
mastodon,59
iron chic,40
noveller,16
bloodyminded,3
bright eyes,57
rhys chatham,5
ejecta,34
physical therapy,21
beedeegee,1
francis and the lights,55
kallisti,0
heatsick,2
vaura,5
black flag,49
flume,71
chet faker,61
emily jane white,43
mike donovan,5
capsule,46
nick cave & the bad seeds,64
phill niblock,7
kevin morby,50
guido,0
perera elsewhere,22
thee oh sees,49
raum,13
shearwater,34
beachwood sparks,30
creep,74
milosh,26
mick turner,29
gap dream,26
teengirl fantasy,13
hellfyre club,21
destroyer,47
sebastien grainger,20
egyptrixx,8
jensen sportag,15
tindersticks,48
okkyung lee,12
c. spencer yeh,1
lasse marhaug,5
title fight,65
jhen aiko,80
the killers,78
russian circles,45
logos,55
ricardo donoso,5
willie burns,5
soundgarden,70
excepter,2
anna calvi,39
fins,68
vatican shadow,26
death grips,58
andrew bird,56
the stranger,41
minor alps,7
skeletonwitch,32
kurt vile,54
sore eros,1
magik markers,6
fis,77
future of the left,27
john talabot,35
throwing muses,39
wooden shjips,38
cate le bon,44
whores,37
the beatles,85
yamantaka // sonic titan,8
brad laner,1
boogarins,38
blood orange,71
polia,47
gatekeeper,38
skin town,9
songs: ohia,45
moonface,19
tennis,52
no joy,31
jonwayne,38
grizzly bear,55
mount eerie,45
luke temple,31
connan mockasin,51
musiccargo,5
swans,48
gesaffelstein,74
kronos quartet,50
bryce dessner,47
william onyeabor,41
luscious jackson,37
action bronson,63
party supplies,29
sbastien tellier,49
matana roberts,14
latyrx,31
eminem,91
death cab for cutie,63
yvette,37
boldy james,64
the alchemist,73
wooden wand & the world war iv,48
m.i.a.,70
mellowhigh,25
james ferraro,27
widowspeak,44
sapphire slows,11
cut copy,47
the beta band,45
swearin,25
doley bernays,20
midlake,44
the range,18
active child,39
circuit des yeux,33
yancey boys,28
miracle,61
the flaming lips,55
laurel halo,36
matt kivel,28
black devil disco club,32
oozing wound,10
sky ferreira,57
los campesinos!,52
son lux,51
upset,49
gnaw,20
arcade fire,65
autechre,44
audacity,12
paavoharju,19
atlantean kodex,19
mutual benefit,31
omar souleyman,39
unwound,43
dosh,88
castevet,2
ryan hemsworth,39
kwes,37
special request,34
boardwalk,16
doomriders,23
juana molina,38
matthew e. white,38
happy jawbone family band,24
daniel avery,43
red fang,45
dj rashad,33
black milk,41
ducktails,31
livity sound,22
earthless,33
best coast,44
motrhead,66
dead gaze,10
cfcf,35
subrosa,23
kelela,54
cass mccombs,42
pelican,36
schneider tm,20
deco,65
bonnie prince billy,44
courtney barnett,53
school of night,1
cave,70
the dismemberment plan,35
paul mccartney,72
crystal antlers,6
summer camp,24
leverage models,1
tim hecker,46
pearl jam,76
hoax,47
frog eyes,20
the body,35
cults,71
dean wareham,25
the men,50
bill orcutt,21
diplo,78
of montreal,52
the dirtbombs,28
in solitude,19
glasser,25
lee ranaldo and the dust,3
sons of the morning,5
elf power,18
into it. over it.,31
pusha t,72
le1f,24
albert hammond jr.,46
tape deck mountain,4
hunters,51
sleigh bells,48
alex chilton,31
brendan canning,12
steve hauschildt,31
yuppies,20
darkside,52
polvo,36
rjd2,47
trentemller,49
roy harper,31
oneohtrix point never,47
touch amor,47
the blow,29
quasi,49
forest fire,4
danny brown,62
parkay quarts,47
lorde,77
blitzen trapper,47
kelley stoltz,27
the field,33
deltron 3030,44
the foreign exchange,38
connections,4
cuushe,18
justin timberlake,82
machinedrum,48
yuck,38
melt-banana,32
pinkish black,11
haim,67
fuzz,37
dr. dog,64
san fermin,38
youth code,27
mazzy star,72
au revoir simone,36
dustin wong,16
traxman,26
loss of self,2
icona pop,67
jesu,74
girls against boys,24
ghost wave,17
ulcerate,34
chvrches,62
why?,39
potty mouth,15
blouse,34
windhand,38
nirvana,83
peter gabriel,65
arp,25
grave miasma,10
the internet,61
drake,97
frankie rose,27
ariana grande,92
huerco s.,32
fort romeau,34
sebadoh,39
yoko ono plastic ono band,24
g-dragon,76
craig leon,29
rashad becker,4
fka twigs,70
elvis costello,55
the roots,61
carol kleyn,2
kyson,49
holy ghost!,37
2 chainz,77
the dead c,8
royal bangs,8
keep shelly in athens,38
modern life is war,29
crystal stilts,28
london grammar,65
celestial shore,2
mgmt,76
islands,32
daedelus,36
clark,42
lake,64
factory floor,21
delorean,23
joanna gruesome,17
balance and composure,47
jacuzzi boys,37
goldfrapp,52
the 1975,78
jessy lanza,35
j-zone,21
arctic monkeys,87
lil wayne,88
grooms,4
carcass,49
terry malts,22
janelle mone,68
body/head,5
man man,36
elizabeth morris,36
emily reo,7
the weeknd,97
califone,33
goodie mob,46
mm,56
the stepkids,13
chelsea wolfe,50
richard youngs,8
the howling wind,0
jackson and his computerband,22
neko case,48
the julie ruin,30
jonathan rado,10
coachwhips,22
pink frost,5
volcano choir,40
king khan and the shrines,29
roky erickson,33
richard buckner,30
vattnet viskar,3
nine inch nails,68
okkervil river,37
john wizards,20
holograms,22
wolfgang voigt,13
bob dylan,78
icarus line,11
marcos cabral,27
golden suits,2
vasaeleth,0
king krule,60
sly and the family stone,58
vieux farka tour,51
modern hut,0
venom p. stinger,3
belle and sebastian,56
shigeto,35
pity sex,32
forest swords,40
the dodos,33
flaamingos,1
disappears,12
m. geddes gengras,10
franz ferdinand,69
dent may,66
gorguts,33
bent shapes,3
lycia,29
julianna barwick,45
crocodiles,25
diana,67
mean lady,17
exhumed,29
a$ap ferg,71
anna meredith,29
laura veirs,39
r. stevie moore,31
still life still,5
ty segall,48
destruction unit,10
the world is a beautiful place & i am no longer afraid to die,37
white hills,21
roach gigz,26
no age,27
illangelo,27
chastity belt,40
jeremiah jae,31
watain,39
earl sweatshirt,70
porcelain raft,29
diarrhea planet,23
ildjarn,18
danny paul grody,17
julia holter,37
braids,29
bitchin bajas,24
slow walkers,5
the delta mirror,1
zola jesus,37
robbie basho,27
gogol bordello,51
surf city,6
sampha,65
billy woods,51
pure bathing culture,27
mark kozelek,35
desertshore,20
medicine,23
lustmord,35
bare mutants,0
the horse's ha,0
washed out,53
the bug,42
rudimental,70
dbridge,30
ras g,28
raspberry bulbs,9
dm-funk,47
steve arrington,40
edward sharpe & the magnetic zeros,63
the belle game,16
missing monuments,0
bloc party,62
the clean,40
pete rock,53
camp lo,44
yellow eyes,21
default genders,0
prodigy,66
-ziq,48
pond,48
pop. 1280,5
ultrasta,6
eric copeland,15
dawn of midi,17
honey ltd.,9
ken camden,2
explosions in the sky,51
david wingo,36
annie,71
minks,17
sarah lee guthrie,4
johnny irion,9
lycus,3
loftus,1
kyary pamyu pamyu,51
soft metals,7
lesbian,28
wrekmeister harmonies,13
moderat,58
helen marnie,1
mouth of the architect,14
morne,12
raffertie,46
ka,92
crash of rhinos,16
the cairo gang,13
partynextdoor,88
true widow,33
baroness,44
grant hart,15
the love language,20
mammoth grinder,22
whirr,56
alunageorge,62
clap your hands say yeah,42
ikonika,19
nylo,26
chance,75
kevin gates,73
future bible heroes,13
twin peaks,44
taragana pyjarama,4
rl grime,62
weekend,97
lightning dust,19
nadine shah,34
nobody,61
valient thorr,22
jackson scott,7
hunx and his punx,25
palms,28
locrian,15
salvia plath,69
the mountain goats,55
pet shop boys,68
the memories,32
hospital ships,3
dunkelziffer,12
fuck buttons,26
roedelius schneider,0
man's gin,6
the smashing pumpkins,75
mark mulcahy,11
david yow,2
iasos,28
amon amarth,59
william basinski,42
mayer hawthorne,54
alela diane,46
hatred surge,14
andy kaufman,0
slum village,55
gauntlet hair,17
hebronix,7
big star,45
andrew cedermark,1
natasha kmeto,16
ghost outfit,0
david lynch,46
devo,54
young moe,28
alex burkat,9
joey bada$$,73
bass drum of death,39
steve gunn,39
summoning,38
ciara,71
ryksopp,61
kirin j callinan,32
jason isbell,60
calexico,46
daughn gibson,13
freddie gibbs,68
blondes,50
keith fullerton whitman,16
floris vanhoof,0
melt yourself down,24
araabmuzik,41
ooooo,31
people of the north,0
ruby pins,0
jay z,84
new order,66
carl craig,37
jan st. werner,2
daniel wohl,7
james holden,40
townes van zandt,53
migos,76
the-drum,3
katie got bandz,32
run the jewels,61
airhead,53
css,41
knx,58
tnt subhead,0
daftside,52
beady eye,37
iamsu!,60
power trip,45
hailu mergia,42
wale,74
the ex & brass unbound,41
matias aguayo,31
spectrals,21
noisem,5
austra,38
mavis staples,50
matthew herbert,40
noah and the whale,49
integrity,32
digable planets,53
high on fire,40
mick harvey,37
serengeti,37
roomrunner,7
mac miller,84
public image ltd,45
candy claws,40
stellar om source,2
gunplay,47
j. cole,86
empire of the sun,79
jagwar ma,30
the baptist generals,6
sonny and the sunsets,35
scott walker,41
bad rabbits,26
the mantles,10
date palms,7
zomby,13
john vanderslice,25
oren ambarchi | keiji haino | jim o'rourke,26
sfv acid,14
alexander spit,28
kanye west,92
quasimoto,49
aye nako,7
takako minekawa,21
teen,51
sigur rs,57
royal trux,23
protomartyr,40
close,25
emika,36
these new puritans,34
gold panda,39
rodan,23
wampire,28
coma cinema,43
the lonely island,59
surfer blood,31
lansing-dreiden,7
lust for youth,38
oblivians,24
smith westerns,29
quadron,34
the jet age of tomorrow,21
blood ceremony,28
benga,35
deafheaven,49
portugal. the man,67
koreless,50
peals,15
case studies,7
boards of canada,57
black sabbath,74
double dagger,6
brazos,26
etran finatawa,22
thundercat,71
camera obscura,45
peter jefferies,7
phaseone,47
lilacs & champagne,18
jon hopkins,58
mykki blanco,39
asg,31
chris corsano,15
